State,Totals,White,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian,Two or more races
Alabama,1964501,1376228,528727,15181,21077,2602,20687
Alaska,276259,193236,9676,43225,13561,4288,12273
Arizona,2713507,2298068,125130,98007,131991,8060,52251
Arkansas,1163237,918631,191421,8445,12862,1339,30538
California,14073439,10420080,995505,168441,2072621,91719,325073
Colorado,2262008,2008534,107317,31481,64867,4149,45660
Connecticut,1469918,1222816,162556,0,60344,2397,21806
Delaware,383542,273018,85992,1334,16450,0,6749
District of Columbia,320045,150543,142894,1377,16859,0,8372
Florida,8630189,7052229,1270435,28324,185561,15819,77821
Georgia,3954180,2417628,1328430,19199,150031,7499,31394
Hawaii,498002,136328,12370,2386,217226,64088,65604
Idaho,664772,634649,6195,2234,9876,3006,8812
Illinois,5038482,3902949,773964,32858,286740,8557,33414
Indiana,2703429,2355506,274919,5241,44727,2308,20728
Iowa,1278372,1184769,39351,4603,34490,5748,9411
Kansas,1166762,1005612,78633,16958,23946,0,41614
Kentucky,1816316,1636243,153361,9260,11484,2356,3612
Louisiana,1868462,1202914,589404,18272,37278,1969,18625
Maine,583435,551157,6857,1567,4490,1798,17566
Maryland,2358605,1419846,745438,8517,145231,5739,33834
Massachusetts,2805087,2304438,224277,6077,206931,0,63365
Michigan,4115708,3374206,565580,17847,117608,2321,38145
Minnesota,2318219,2038549,119385,25866,111487,3177,19755
Mississippi,1203911,736607,438426,7408,4504,2246,14719
Missouri,2475118,2064792,293574,19654,37696,12438,46964
Montana,438669,411270,1570,15553,2048,1548,6680
Nebraska,754799,688368,38608,3652,19428,787,3956
Nevada,1151077,890762,119803,18454,73189,13740,35129
New Hampshire,545476,510845,6614,845,16020,0,11152
New Jersey,3346995,2568661,470852,2552,275230,0,29700
New Mexico,825858,683655,22618,84214,10290,2998,22084
New York,7919645,5670328,1378083,50409,697330,8283,115212
North Carolina,4353137,3086468,964646,134591,105461,9990,51982
North Dakota,321623,290291,8123,13765,3782,1289,4373
Ohio,4701390,3934801,612327,14148,80279,0,59835
Oklahoma,1528918,1202652,118656,104128,25691,1758,76033
Oregon,1761651,1568625,34135,19293,64196,8057,67346
Pennsylvania,5144940,4289156,598576,13258,183554,7583,52813
Rhode Island,434526,384059,25953,4964,10503,3543,5503
South Carolina,2046167,1476698,527738,4861,16510,0,20360
South Dakota,349931,305378,7089,28891,5330,567,2677
Tennessee,2685679,2154671,421267,9066,43030,3173,54472
Texas,10244844,8030144,1412274,112343,477307,9419,203356
Utah,1043697,975606,13695,9140,23851,11390,10015
Vermont,263308,252372,1784,528,3668,229,4728
Virginia,3322843,2370598,659827,15185,212768,10196,54269
Washington,2904322,2331859,109497,48524,296548,19828,98065
West Virginia,746449,709267,24134,888,3030,759,8372
Wisconsin,2411003,2179255,146510,14918,45059,0,25261
Wyoming,233698,219796,2427,8024,1077,146,2227